"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SLC35D3",131.530184338488,-0.00673707944308868,0.0885419201316265,0.849864497348187,0.93674565917681
"IL20RA",123.664990111386,-0.0044814527145248,0.0795194089327502,0.919094885476336,0.966858245629839
"IL22RA2",6.6227445358649,0.00113233585179763,0.0998660839395096,0.954107712812948,NA
"IFNGR1",783.343381600695,0.045074155204658,0.0827961831707048,0.29111552890819,0.57495739846539
"LOC106887325",121.395245156228,-0.00323427186730856,0.0850007400118222,0.93493481947938,0.973280678717976
"LOC106888020",4.03990529720123,-0.0203819641290848,0.119706696942162,0.141078878143525,NA
"LOC106888514",50.02514135202,-0.106606313299499,0.130093982923674,0.011756507645792,0.127341800513313
"LOC106889615",153.64366579603,-0.0552802541281946,0.0986777402385735,0.110657627643814,0.365250315509268
"ENTPD4",1190.84712632095,-0.0486642083279254,0.0543466050176328,0.274959964023927,0.558630554523209
"LOXL2",47.3999552696233,0.0269745534091908,0.0973488786241469,0.33502976110224,0.612239869885223
"R3HCC1",2551.73292100373,-0.025299451155434,0.053078411131273,0.565450758777265,0.782600111903071
"LOC106893840",7.16248707645616,0.00940408618674842,0.0988093137758924,0.669767822759199,NA
"CHMP7",1740.28181618075,-0.0152651846971914,0.0818742045794178,0.719686896818795,0.869688298742186
"LOC106890301",70.2773607410404,0.00983901623029258,0.0844742965817436,0.806667295079794,0.915174277695667
"RHOBTB2",979.093300157911,0.019151398995023,0.0623322945419069,0.684093075964447,0.848857302255419
"PEBP4",2522.56092729042,-0.155215764193865,0.0765067205216131,0.00176965862090925,0.0485086262296012
"EGR3",240.608587448058,-0.0378744166865773,0.0937157895204607,0.257629232511177,0.542910238392232
"BIN3",550.116281447542,0.0511486376726859,0.0778419878435172,0.261773859899375,0.546457454198051
"PDLIM2",7.6384707656097,-0.00791012259518894,0.100380143079743,0.690972975249593,NA
"RFC5",318.614072988131,-0.031410741154352,0.0732824465785671,0.503191998160267,0.742597954050256
"WSB2",939.33830401076,-0.0656851504336919,0.0755781267783408,0.159363056621693,0.435517611623826
"LOC106902700",302.413392699223,-0.0487152912484765,0.0829138385609696,0.255044231210333,0.540003414820004
"DTX1",1197.36084840077,0.0116225220522115,0.0717152917514707,0.805512079755118,0.914719876110082
"EWSR1",2251.95124126111,0.127325036240918,0.0581763816418385,0.00566240305229585,0.087683407629857
"GAS2L1",1245.25007298676,-0.0704086639287615,0.0559881285514201,0.119645540980251,0.377863130120206
"AP1B1",4809.69207815707,-0.0222148244640175,0.0537577494739949,0.616204226006136,0.810478151956992
"LOC106886774",17.3247662439734,-0.000305906581276799,0.0979887791370085,0.988975387377188,NA
"NEFH",9079.68867961682,-0.0305825616851012,0.0681333934527422,0.520498450277204,0.754284473456498
"THOC5",1793.75656777707,-0.0451321292167174,0.067381599908485,0.343323678416188,0.619979908586331
"NF2",1073.6376851314,-0.018190950089941,0.0534892671830252,0.680671292811705,0.846697794791211
"CABP7",543.018185516479,-0.00564001243645817,0.0978032860364722,NA,NA
"ZMAT5",719.325679235102,-0.0933117443774267,0.0732411122381029,0.0505369304752439,0.252610333360815
