"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSD17B2",44.0376302139729,5.73691070519129,0.397482998408244,4.37030312723971e-48,6.35092450450475e-44
"CDH3",766.732781000019,2.23200562098658,0.166992085960303,2.7144790755223e-42,1.9723404962745e-38
"ARY2",1070.99083233658,-0.623874644684606,0.0809748526354332,2.48734354605807e-17,1.20486921371053e-13
"PLBD2",1337.59428797068,-0.827272370504885,0.112656499063674,4.72441927815482e-17,1.71638152375365e-13
"RPS12",3708.95815707031,-1.1091013091347,0.152436697654764,1.24830781195159e-15,3.62808182465611e-12
"LOC106896212",207.951475049706,-1.06424192657133,0.152239267454489,5.77957302384242e-15,1.39981258637463e-11
"LOC106897801",194.717240891568,-0.926060696953414,0.138013881078881,8.86166618295221e-15,1.83968189958088e-11
"PYCRL",582.561686635379,-0.672326365433176,0.0992913969670301,1.02895720439331e-14,1.86910076178046e-11
"LOC106899931",198.362713293195,0.962629862552171,0.143922331853074,1.47771795548877e-14,2.38602192546254e-11
"BORCS8",132.69689291188,-1.80749048056875,0.251793111702282,1.70290630605619e-14,2.47466344396086e-11
"LOC106890715",718.954160842566,1.71643992934547,0.259695235105984,7.8202364108193e-13,1.03312432292751e-09
"PSMB2",1909.45567032292,-0.466997637649224,0.0706708822696677,1.24746461808747e-12,1.51067965250393e-09
"FAAP100",1631.45691154185,-0.258884703038897,0.0386910350935912,4.57365010108178e-12,5.11263717453234e-09
"LLGL1",2879.29088887509,0.504217639536171,0.0826832163378553,1.79840142856314e-11,1.70515150565904e-08
"CYBA",1025.49469828035,-0.880086851083039,0.161738707760934,1.87740325423512e-11,1.70515150565904e-08
"LOC106900582",157.249819480717,1.4594513615902,0.241641928534792,1.72874308469398e-11,1.70515150565904e-08
"TESK2",1351.00787196214,0.388813661609969,0.064281289522277,1.38083493311532e-10,1.12064973760221e-07
"CENPN",156.554118339969,-0.705735972262554,0.136320470558895,1.38808803171207e-10,1.12064973760221e-07
"CDK10",1052.36819686459,0.341345969727944,0.0589490171838198,1.01240333523128e-09,7.74328698293737e-07
"SH3TC2",608.983449541915,0.553793064863645,0.107545518065709,1.66059638804871e-09,1.1523261931363e-06
"LOC106899618",104.955406502248,-2.21015476979563,0.416994809006008,1.66521126175765e-09,1.1523261931363e-06
"NPPC",1313.03178212929,-0.649673079437104,0.138587968074953,3.5694651097666e-09,2.35779395341492e-06
"PLEKHF1",667.970201039543,0.40473082487153,0.0766964488406124,8.52093417710518e-09,5.38374849833445e-06
"LOC106900021",5104.65870687284,-0.34155324485891,0.0653243677498534,1.84949106458615e-08,1.11986683960691e-05
"CSPG5",1541.40530506397,-0.437411112356782,0.0893940966935312,3.62426597048243e-08,2.02568588780964e-05
"LOC106898018",414.55856184296,0.604271401541208,0.139553241882913,3.49932520703759e-08,2.02568588780964e-05
