"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",315.195871995996,8.51244455561634,0.369672270879838,3.1620533531769e-118,4.29912773897931e-114
"RPS29",4884.2965795505,-2.01229599318746,0.144911799978687,2.11413657720311e-45,1.43719004518267e-41
"HSD17B2",44.0376302139729,4.22639064733003,0.413003285888684,1.92775977124907e-25,8.73660728330078e-22
"PYCRL",582.561686635379,-0.956449071495683,0.0964793011064964,3.27545521302075e-25,1.11332722690575e-21
"CDH3",766.732781000019,1.54148940502709,0.172826801289006,1.15436579140792e-21,3.13895145999641e-18
"PSMB2",1909.45567032292,-0.64018993547153,0.0708384625100336,3.09164518716667e-20,7.00566799411967e-17
"RPS12",3708.95815707031,-1.26574415432725,0.152035343073972,7.26578443037357e-20,1.41122293021941e-16
"LOC106899618",104.955406502248,-3.41099678882336,0.42624550090505,2.38754048775839e-17,4.05762505894538e-14
"KCNE4",984.41051375278,0.986246443898173,0.127627806290641,7.04729476919826e-17,1.06461132980022e-13
"LOC106890715",718.954160842566,2.00440066717106,0.258249320611432,1.27806187502981e-16,1.73765292529053e-13
"ARY2",1070.99083233658,-0.619162468245314,0.0783088164903828,4.63307905500904e-16,5.72648571199117e-13
"PLBD2",1337.59428797068,-0.793440522360691,0.103877173535606,1.25147452005522e-15,1.41792063122257e-12
"BORCS8",132.69689291188,-1.84378883827005,0.256545458910346,5.67544738812281e-15,5.93564482222444e-12
"PLCG2",195.773676718812,0.621770194510426,0.0851475475397421,4.02899576343457e-14,3.91273045711831e-11
"HSBP1",10575.9517148032,-0.292858654288968,0.0519429278682806,3.48134080887426e-13,3.15548730916363e-10
"LOC106896212",207.951475049706,-0.939918600017045,0.145098312091013,1.02114136967405e-12,8.67714878880526e-10
"LOC106900582",157.249819480717,1.47023547972731,0.250482885556148,6.32184503255312e-12,5.05598853309366e-09
"CSPG5",1541.40530506397,-0.561187597979417,0.0948617356159601,6.0973632299885e-11,4.60554169305131e-08
"CENPN",156.554118339969,-0.742574082335886,0.124668080545293,1.41944288720982e-10,1.01572344707919e-07
"ARHGDIG",3557.24580742165,-0.502353237068256,0.0960636347652872,2.48875018387721e-10,1.69185237499973e-07
"TAC1",11949.0009844587,-0.508196922827492,0.106653149676905,1.90373991030975e-09,1.2325356105034e-06
"MAP6D1",1866.25865742753,0.462404818066941,0.10655952875853,2.8059057180755e-09,1.73404973377066e-06
"MOCOS",472.201789554576,0.724063124205215,0.139132440144426,4.84727035852528e-09,2.8653690345439e-06
"LOC106900628",98.1220870182355,0.841705207538264,0.167825335964818,7.4110703121018e-09,4.19837133180567e-06
"VPS9D1",758.698043586473,0.454683148789328,0.112515015100608,7.75504381565563e-09,4.21750302870616e-06
"CDK10",1052.36819686459,0.272222400239279,0.0672857909173539,8.38830013294747e-09,4.38643571567515e-06
"LOC106900510",280.538034060468,0.583100422029899,0.128906792923741,1.89139989217472e-08,9.52424923481761e-06
"SDR42E1",113.262282396564,0.724063950855618,0.151692405732736,2.25841312409738e-08,1.09662088697243e-05
"IAPP",246.587882461712,-1.03396009957615,0.246812945172804,5.36340604668458e-08,2.47769009092571e-05
"LOC106899806",552.244472059917,-0.366630602611121,0.113080819061943,5.46710081845921e-08,2.47769009092571e-05
"LOC106900307",166.040360059388,-0.886161528446122,0.204106864880903,6.30421206533582e-08,2.76490539484858e-05
"DHFR",625.05840857212,-0.275289023029423,0.0795464118345235,9.11637389910635e-08,3.87331936038281e-05
"PLEKHF1",667.970201039543,0.307934131766625,0.101049659186723,1.91472172338015e-07,7.88865350032622e-05
"SURF2",970.154885710971,-0.36059019391162,0.125800910147103,3.15504953265482e-07,0.000126164863076397
"APPL2",2365.14345552674,0.194397339065046,0.0432602468542741,3.25770655695418e-07,0.00012654793813814
"LLGL1",2879.29088887509,0.314729796563685,0.109351160525023,3.7124185190768e-07,0.000140205672737134
"LOC106900107",919.181149289976,-0.349061156820474,0.124245493084647,4.04585271991189e-07,0.000148668685351141
"WNK1",8620.16431197193,0.282670211232102,0.0947083052910956,4.94842099449607e-07,0.000177049294318865
"CEP97",1432.23626650785,0.173135743434862,0.0377751789173365,5.21858883879891e-07,0.000181928035518744
"LOC106893998",849.297232657525,-0.614838174974893,0.179516536974817,5.4869772294045e-07,0.000186502356027459
"FNBP1",3084.45492982066,0.442130090012054,0.152656381363446,5.68206669936861e-07,0.00018842287523077
"ARHGEF5",186.534883779635,0.518308499198165,0.16584395495724,5.92906143183206e-07,0.000191932188636163
"LOC106897801",194.717240891568,-0.517001521728481,0.167483437212076,6.58233631536148e-07,0.000207746787606255
"HMOX1",3333.36339302982,0.442264272227772,0.155063562629085,6.72319700991117e-07,0.000207746787606255
"LOC106895068",8102.26073054337,-0.163382269039899,0.0362117239859729,9.81988919794892e-07,0.00029669158563403
"LOC106898118",185.840900085551,0.443454797172061,0.162507771174029,1.0784452722211e-06,0.000318750911328653
"PHLDB1",1799.26474649239,0.414884478631293,0.156480433017466,1.13781431861021e-06,0.000323888864974738
"CYTH3",3105.22485195321,0.20433277612104,0.0506015264084438,1.14347348623032e-06,0.000323888864974738
"EPHX4",3130.57179397597,-0.172547860203218,0.0391937835217501,1.19474873702836e-06,0.000330675207080644
"HEATR5A",3494.02648310111,0.327563113797696,0.126689719810392,1.21607534230893e-06,0.000330675207080644
"RAB3B",8999.44572689199,-0.240003425503547,0.0732602702975941,1.31339311245224e-06,0.00035013515209609
"TXNIP",1963.39980714875,0.567262277647798,0.194863359728239,1.5590679382431e-06,0.000407636301699099
"STRADB",2136.03535537401,0.315224785763095,0.124211477534835,1.6786483060433e-06,0.000430620799414429
"ANKRD13A",3060.10255065098,0.230926646687798,0.0694843561425631,1.9959143378271e-06,0.000502526876612911
"LOC106897903",2480.58659023628,-0.462298022352389,0.178328547635217,2.04422565458522e-06,0.000505332581813467
"TMEM185A",2259.54509608686,-0.190061796191613,0.0469780323544154,2.46363425443996e-06,0.00059813520220296
"CLASP1",3581.37952421118,0.211836819021726,0.0578982571477238,2.5376501373895e-06,0.00060529633803417
