"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",218.003180485095,8.40897733423691,0.436126414051552,1.83836483786598e-83,2.9518624201614e-79
"RPS29",4426.21457115872,-1.98334731735131,0.169590962292372,2.60523294499379e-32,2.09161126988826e-28
"RPS12",3572.5938839862,-1.48579761798702,0.18816004942361,2.44228948963067e-17,1.30719474449999e-13
"PYCRL",485.438271852393,-0.997182988871005,0.132076279078534,1.94529367216598e-16,7.80889512349227e-13
"BORCS8",112.69809000403,-2.05495125010868,0.2646596371893,1.20612467656646e-15,3.86428194445877e-12
"PSMB2",1590.76881287647,-0.658123131990298,0.0851192257145553,1.44396161591534e-15,3.86428194445877e-12
"LOC106899618",108.003874878036,-3.10264547233087,0.419285142676716,7.47202658170831e-15,1.71397615460701e-11
"PLBD2",966.024744842011,-0.822021165443093,0.127631633081575,3.48383260184254e-12,6.99248751097321e-09
"LOC106900582",131.426146270427,1.38985485085695,0.237030629123616,1.73300065713268e-11,3.09186572795328e-08
"LOC106900021",4871.83191619297,-0.33210951966915,0.079871935575739,1.74892854203669e-10,2.80825455994831e-07
"LOC106896042",16.6009949435555,2.66032030008165,0.466994324352249,1.06991103311711e-09,1.56177831443286e-06
"LOC106900628",70.2346540718988,1.05411468644703,0.21652913018818,3.46328217444617e-09,4.63416015625684e-06
"LOC106890715",499.960111704191,1.02163149478499,0.219973005559522,1.00648212365405e-08,1.24316026611639e-05
"LOC106887212",4.80957833860163,4.14849805273827,0.910418749923194,1.21626516167394e-08,1.39496926435703e-05
"LOC106896212",149.310733519656,-0.830010629139654,0.17428817395516,1.43023870436577e-08,1.53102285840007e-05
"TANGO6",1114.63515997164,-0.380564440006108,0.113049985287594,1.54931267707033e-08,1.5548321034824e-05
"LOC106897903",2295.38894929824,-0.521779729787154,0.13476563669644,3.36776162755565e-08,3.18094990903889e-05
"LOC106885081",1024.36381916264,2.78053892723758,0.623831284089748,7.51034486061715e-08,6.69964485705164e-05
"CSPG5",1393.22922047348,-0.414577068573134,0.174128199516595,1.45847364205348e-06,0.00123256375107646
"MRPL2",2375.86957287177,-0.603532562334193,0.224459160729742,1.58591692571065e-06,0.0012732534038068
"LOC106900107",762.114162249401,-0.292192148545459,0.127272442489686,2.38708561596808e-06,0.00182521113026664
"CENPN",119.285105765197,-0.658197784321781,0.29969320075426,4.58842365243517e-06,0.00334892357214325
"LOC106892577",37.1333934022475,-0.831142975413765,0.414485397743203,5.08101240050606e-06,0.00354720939630112
"LOC106893998",667.222389281957,-0.465644890310568,0.228382444914151,5.78849880452065e-06,0.0038727468876745
"SURF2",820.115845989703,-0.303512556451797,0.150107236101215,6.05241933495471e-06,0.00388734789045471
"ARHGDIG",2765.72836608154,-0.323592019251934,0.165942399693606,6.98359056678772e-06,0.00431290437426579
"ARY2",830.855185359785,-0.30059726207898,0.153623559006895,7.97405458760195e-06,0.00474219979678239
"LOC106897801",195.987290526776,-0.492974521552353,0.261197503894909,9.2669855256336e-06,0.0053142852351821
"DCAKD",122.908810474639,-0.468832968734647,0.251720845440172,9.7600736926731e-06,0.00540405183735351
"CHMP2A",581.790840137524,0.458157525038036,0.259676951491259,1.28298408063964e-05,0.00686695846094358
"CDK10",883.754637224583,0.180131884110497,0.0547120973896507,1.83557744514817e-05,0.00950769904411101
"DPEP1",8.45594742152936,1.0883491110553,0.946337772989629,1.95646983209796e-05,0.00981719877937404
"VPS9D1",642.316792965629,0.234886212550973,0.117200625652074,2.34216598372424e-05,0.0113964118789879
"LOC106900339",238.789207599908,0.566789544230236,0.423792876490698,2.68078002860382e-05,0.0126603779174387
"ACSF3",694.582818567526,-0.203140475279446,0.0886303003167134,4.17338470277544e-05,0.0191462966207043
"COMMD4",1493.78957224806,-0.334946550006766,0.238659467227275,4.61683801724769e-05,0.0205923800119295
"LOC106885181",300.416520351948,-0.499454553009225,0.536845101997576,6.32066437862533e-05,0.0267081336651545
"LOC106893714",196.370841540117,-0.313822587987135,0.234711750489074,6.23672715020999e-05,0.0267081336651545
"LOC106898119",36.284160115047,0.529911473139262,0.616110172428209,6.54825012484252e-05,0.0269603210909222
"TCF25",2414.10485776682,-0.175986160846986,0.0619746733794044,6.86061339255118e-05,0.0270694606952138
"LOC106896651",30.6697988672618,-0.705546377386044,1.17100608272585,6.91192556831143e-05,0.0270694606952138
"LOC106897755",1435.59306889557,-0.18684038597503,0.0798263422186623,8.72359999991602e-05,0.0333511536187265
"LOC106889135",237.110258451437,-0.379210667086383,0.374590032239562,9.19920328469487e-05,0.0343515365447315
"ELP6",499.420627469841,-0.179173054916984,0.0729129053177959,0.000111306424586322,0.0406192558996039
"LOC106896343",24.6245246406371,0.36972692073511,0.481076053478183,0.000129719795615723,0.0462869057378146
"LOC106887302",112.446321389881,0.317743874763732,0.323592107274814,0.000137857763127282,0.0481213500551037
