Filename,Sample_ID,Species,Dev_stage,Sex,Age,Phenotype,Tissue,Tissue_complete,Collected_by,Collection_date,Biomaterial_provider,Geographic_location,Ecotype,Body_mass,Testes_mass,Bird_ID,Gonadosomatic_index,Sample_Type,Batch,Seq_provider,Lib_prep,Lib_kit,Seq_prep,Seq_kit,Lib_size,RIN
s1015_F_ADR_02_R1.gz,s1015_F_ADR_02,Calidris pugnax,Adult,Male,3,Faeder,Adr,Adrenal glands,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,1,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),42604706,8.9
s1015_F_ADR_02_R2.gz,s1015_F_ADR_02,Calidris pugnax,Adult,Male,3,Faeder,Adr,Adrenal glands,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,1,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),42604706,8.9
s1015_F_GON_01_R1.gz,s1015_F_GON_01,Calidris pugnax,Adult,Male,3,Faeder,Gon,Male gonads (testes),Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),44148661,8
s1015_F_GON_01_R2.gz,s1015_F_GON_01,Calidris pugnax,Adult,Male,3,Faeder,Gon,Male gonads (testes),Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),44148661,8
s1015_F_LIV_01_R1.gz,s1015_F_LIV_01,Calidris pugnax,Adult,Male,3,Faeder,Liv,Liver,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),43708108,7.5
s1015_F_LIV_01_R2.gz,s1015_F_LIV_01,Calidris pugnax,Adult,Male,3,Faeder,Liv,Liver,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),43708108,7.5
s1015_F_PIT_01_R1.gz,s1015_F_PIT_01,Calidris pugnax,Adult,Male,3,Faeder,Pit,Pituitary gland,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),32084768,NA
s1015_F_PIT_01_R2.gz,s1015_F_PIT_01,Calidris pugnax,Adult,Male,3,Faeder,Pit,Pituitary gland,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),32084768,NA
s1306_I_GON_01_R1.gz,s1306_I_GON_01,Calidris pugnax,Adult,Male,4,Independent,Gon,Male gonads (testes),Jasmine L. Loveland,6/6/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.09,2.11,1306,1.26,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),35576830,NA
s1306_I_GON_01_R2.gz,s1306_I_GON_01,Calidris pugnax,Adult,Male,4,Independent,Gon,Male gonads (testes),Jasmine L. Loveland,6/6/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.09,2.11,1306,1.26,Total RNA,2,DRESDEN-concept Genome Center (DcGC),Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),35576830,NA
